term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),5.567255982360975,0.42554852108622326,13.08254101823786,1.8296080284771183e-32,4.730488357553662,6.4040236071682886
cpn_total,0.3409367918084171,0.050332816790008256,6.773648159427025,4.888020750551161e-11,0.24196600594425166,0.4399075776725825
cpn_precoceTRUE,1.0352112045517337,0.13329898398347373,7.76608473384972,7.853380283883155e-14,0.7731017888442836,1.2973206202591836
distance_cs,-0.13820370092642484,0.013109672177863385,-10.542117228514046,6.337076452517435e-23,-0.1639816056933659,-0.11242579615948378
instructionPrimaire,0.15336355282335642,0.18701538341295929,0.8200584894383028,0.41270508656563565,-0.214369879269065,0.5210969849157778
instructionSecondaire,0.950674886761938,0.19138811338103018,4.967261915943867,1.0348605801828894e-6,0.5743432368682495,1.3270065366556265
instructionSuperieur,0.8652658292360346,0.2395787758365091,3.6116130329779312,3.458119118690874e-4,0.3941755697769007,1.3363560886951684
milieuUrbain,0.5257380723498781,0.1575800834936187,3.3363230980339478,9.340144712515507e-4,0.21588407063622422,0.8355920740635321
age_mere,0.005722926408486419,0.01427828878641523,0.4008131852558812,0.6887865470538206,-0.02235286096265754,0.033798713779630375
parite,-0.004851105231744926,0.05018448585694415,-0.09666543651704397,0.9230438666785347,-0.10353022395010832,0.09382801348661847
